;;Cod.;Descrizione;Libero 4;Q.tà in giacenza;Fornitore;Ubicazione;Note
;No;le2pkzmx;Cordino Ternes Lilla Gr 200;P.ta 2352;150;Giletti S.P.A.;AD-9;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;9050;Cordino Ternes Limone Gr 200;P.ta 1062;150;Giletti S.P.A.;AD-10;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12924;Cordino Ternes Magenta Gr 200;P.ta 8316;150;Giletti S.P.A.;AD-11;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;9051;Cordino Ternes Mandarino Gr 200;P.ta 9115;150;Giletti S.P.A.;AD-12;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12925;Cordino Ternes Marrone Gr 200;P.ta 9031;150;Giletti S.P.A.;AD-13;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;7259;Cordino Ternes Militare Gr 200;P.ta 3145;150;Giletti S.P.A.;AD-14;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;0skor5iy;Cordino Ternes Nero Gr 200;P.ta 4030;150;Giletti S.P.A.;AD-15;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;h6p8832o;Cordino Ternes Panna Gr 200;P.ta 4083;90;Giletti S.P.A.;AD-16;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;jh3578xp;Cordino Ternes Perla Gr 200;P.ta 3316;150;Giletti S.P.A.;AD-17;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;7216;Cordino Ternes Petrolio Gr 200;P.ta 2040;150;Giletti S.P.A.;AD-18;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;5we2ieim;Cordino Ternes Rosa Baby Gr 200;P.ta 2338;150;Giletti S.P.A.;AD-19;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;d24okutc;Cordino Ternes Rosso Gr 200;P.ta 3115;120;Giletti S.P.A.;AD-20;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12926;Cordino Ternes Ruggine Gr 200;P.ta 2293;150;Giletti S.P.A.;AD-21;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;bys4i1d6;Cordino Ternes Sabbia Gr 200;P.ta 3130;60;Giletti S.P.A.;AD-22;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;9062;Cordino Ternes Salvia Gr 200;P.ta 1015;150;Giletti S.P.A.;AD-23;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;7217;Cordino Ternes Smog Gr 200;P.ta 8240-01;150;Giletti S.P.A.;AD-24;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;wf34pd85;Cordino Ternes Turchese Gr 200;P.ta 2283;150;Giletti S.P.A.;AD-25;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;qm2w4o2j;Cordino Ternes Verde Acqua Gr 200;P.ta 009;150;Giletti S.P.A.;AC-26;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12927;Cordino Ternes Verde Gr 200;P.ta 6307;150;Giletti S.P.A.;AC-25;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12928;Cordino Ternes Viola Gr 200;P.ta 3105;150;Giletti S.P.A.;AC-24;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;vbadrug3;Cordino Tornado Azzurro Grammi 200;P.ta 9064;120;Giletti S.P.A.;BA-1;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;31aslz3f;Cordino Tornado Bianco Grammi 200;P.ta 19423;150;Giletti S.P.A.;BA-2;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;ft4van2o;Cordino Tornado Blu Grammi 200;P.ta 8141;150;Giletti S.P.A.;BA-3;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;g1pvj715;Cordino Tornado Bordeaux Grammi 200;P.ta 8056;150;Giletti S.P.A.;BA-4;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;7215;Cordino Tornado Corallo Grammi 200;p.ta 9095;150;Giletti S.P.A.;BA-5;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12917;Cordino Tornado Deserto Grammi 200;P.ta 3240;150;Giletti S.P.A.;BA-6;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;xt7el78v;Cordino Tornado Fuxia Grammi 200;P.ta 8083;150;Giletti S.P.A.;BA-7;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;620sfnbf;Cordino Tornado Jeans Grammi 200;P.ta 8114;150;Giletti S.P.A.;BA-8;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;067fp08s;Cordino Tornado Lilla Grammi 200;P.ta 2352;150;Giletti S.P.A.;BA-9;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;9047;Cordino Tornado Limone Grammi 200;P.ta 5508;150;Giletti S.P.A.;BA-10;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12918;Cordino Tornado Magenta Grammi 200;P.ta 8316;150;Giletti S.P.A.;BA-11;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
